編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
668,20260324,韌體工程師(歡迎新鮮人，無經驗可),"使用過 MCU 設計經驗。
3. 熟悉 UART/SPI/I2C 相關介面開發。
4. 以 C 語言開發。

加分條件:
1. 有 FreeRTOS 開發經驗。
2. 有撰寫 Python 或 C# 軟體架構經驗者。
3. 具備基礎電路分析能力、有",星協系統科技有限公司,電腦及其週邊設備製造業,40000,55000,大學以上,"[{'code': '12001002003', 'description': 'MCU'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12004001002', 'description': 'ARM'}, {'code': '12004001016', 'description': 'Firmware'}]",0,https://www.104.com.tw/job/8v4to
670,20260407,【台北總部】全球策略發展中心_後端工程師(JAVA),"web service
2、雲端相關技術或大數據分析，AI 等相關能力
3、DevOps 相關技能 (CI, 容器化)
4、其他程式語言, 如 C#, python, ruby, Kotlin 等
5、Design Pattern
6、企業人資系",旭聯科技股份有限公司,網際網路相關業,40000,55000,大學以上,"[{'code': '12001003025', 'description': 'Java'}]",17,https://www.104.com.tw/job/7le5v
671,20260407,數位工程師,"熟悉 Revit、Navisworks 或 AutoCAD (若會 Dynamo 或 Python 插件開發更佳)

Ａ.這不是一份單純的繪圖工作，而是將「工程數據化」的核心任務：

1.數位建模與模擬： 負責 LOD 400 等級的高精密",金展空調股份有限公司,空調水機電工程業,40000,55000,大學以上,"[{'code': '12002003010', 'description': 'Revit'}, {'code': '12006001008', 'description': 'Oracle ERP'}, {'code': '12002003003', 'description': 'AutoCad 3D'}, {'code': '12002003002', 'description': 'AutoCad 2D'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12006001005', 'description': 'MRP'}, {'code': '12002003001', 'description': 'AutoCAD'}]",2,https://www.104.com.tw/job/8r7uk
673,20260407,【F】軟體測試開發工程師(嵌入式/可攜式裝置),"1. 生產軟體問題分析：分析工廠端回報的測試異常(Failures)，透過Log釐清問題歸屬，並追蹤根本原因(Root Cause)。
2. 自動化與工具開發：開發並維護產測輔助工具與自動化測試腳本(Python/Shell)，提升生產與驗證效率",富智康國際股份有限公司,消費性電子產品製造業,40000,55000,大學以上,[],1,https://www.104.com.tw/job/8vt8u
674,20260407,初級選擇權交易員 Junior Options Trader,"Options market making experience
有選擇權造市經驗
3. Python coding skills
熟練掌握Python
4. Solid understanding of the automated trading",RADIANT KNIGHT LIMITED_薩摩亞商耀爵有限公司台灣分公司,電腦軟體服務業,55000,55000,大學以上,[],6,https://www.104.com.tw/job/73b02
677,20260401,C#開發工程師,"1.負責WndowsForm程式維護及需求開發
2.3年以上C#及WndowsForm 開發經驗
3.熟悉MS SQL、StoredProcedure開發
4.能使用Python語言產生Excel報表
5.具證券金融商品知識、風控系統經驗尤佳
6",華南永昌綜合證券股份有限公司,證券及期貨業,40000,55000,專科以上,[],2,https://www.104.com.tw/job/8hweg
678,20260330,AI 影像工程師(全遠端),"工作內容：
1:使用 AI 與影像處理技術，處理文件、照片、考券、包裝等影像任務
2:將問題拆解成多步驟流程，例如定位、校正、辨識、比對
3:使用 Python、OpenCV、OCR、AI 模型進行開發與測試
4:分析錯誤案例，持續優化準確率與穩",宓弘亞商務管理顧問有限公司,網際網路相關業,45000,55000,專科以上,"[{'code': '12001003091', 'description': 'OpenCV'}, {'code': '12001003086', 'description': 'PyTorch'}]",16,https://www.104.com.tw/job/8zwo3
679,20260401,【遊戲研發】C++軟體工程師,"者
2、曾了解C++編程、Socket網路開發
3、若有熟悉任一門腳本語言尤佳，如python、Lua、Javascript
4、熟識任意一種資料庫尤佳，如MySQL、MongoDB
5、能Linux基本操作
6、對於遊戲開發流程好奇、立定過目標想",彩虹互動科技有限公司,電腦軟體服務業,50000,80000,大學以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001007067', 'description': 'Socket'}, {'code': '12001001007', 'description': 'Linux'}]",6,https://www.104.com.tw/job/8r6b1
681,20260407,全自動化測試工程師 Automation Test Engineer,", reproduction,optimization).


【 加分項目｜Nice to have 】
．具備 JavaScript / Python 程式開發能力（任一即可）
．熟悉系統化測試報告設計與數據分析能力
．有處理 多專案自動化測試",創順科技有限公司,其它軟體及網路相關業,100000,9999999,大學以上,[],6,https://www.104.com.tw/job/8w71w
692,20260407,AI 原生全端工程師,"- 建立完善的錯誤處理與效能機制

技術範圍
Frontend
- JavaScript
- Vue.js

Backend
- Python 或 Golang
- RESTful API

3. 系統整合與資料處理
- 串接第三方 API 與內部",沐恩生醫光電股份有限公司,其他醫療保健服務業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001006038', 'description': 'VueJS'}, {'code': '12001007026', 'description': 'HTTP'}, {'code': '12001007071', 'description': 'TCP/IP'}, {'code': '12001007077', 'description': 'WAP'}]",9,https://www.104.com.tw/job/8zf2k
694,20260407,系統程式設計師,政府部門所使用之系統功能開發、維護，負責.NET FrameWork 4.8、WebForm、ASP.NET Core Web API、.net core、Active Server Pages、CSS、JAVASCRIPT、Python等語法功,環資國際有限公司,工商顧問服務業,40000,80000,專科以上,"[{'code': '12001002018', 'description': 'Git'}, {'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003067', 'description': 'Visual Studio .net'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}]",4,https://www.104.com.tw/job/82lqy
697,20260407,遊戲研發主管,"導或技術主管經驗
・深入理解敏捷/Scrum 開發方法論，具有實現工程流程改進的經驗
・具有帶領工程師團隊的實績，能示範高效能編碼和技術決策 核心技術能力
・精通至少一種後端開發語言（Python、Javascript、Go），對多種程式語言有深入",澳碼科技有限公司,電腦軟體服務業,100000,9999999,高中以上,"[{'code': '12001003080', 'description': 'Go'}, {'code': '12001004032', 'description': 'MySQL'}]",5,https://www.104.com.tw/job/900h0
698,20260402,資料工程師,"平臺的對接；

任職要求：
・具備公有雲資料排程、處理、清洗、分析的實務經驗。
・具備 Python、Java、php 等軟體開發相關工作經驗。
・擅長解決問題、除錯、故障排除，提出問題解決方案。
・具備 SQL、BigQuery、RDBMS、",圖靈數位股份有限公司,其它軟體及網路相關業,40000,55000,大學以上,[],4,https://www.104.com.tw/job/7v0e3
699,20260401,運輸資訊研究員,"Operations
Research）方法，並具備實作能力。
(2) 具程式設計能力，能以C#或Python整合求解引擎(ex:Cplex, Gurobi, Google
OR-Tools)建構與驗證模型。
(3) 不排斥交通運輸議題，能將作業研究方法應用於運輸決",財團法人中興工程顧問社,工商顧問服務業,40000,55000,碩士以上,[],0,https://www.104.com.tw/job/8ureb
700,20260331,資訊工程師,"排解電腦當機等突發狀況。
❚ 良好的溝通： 能用白話向非技術背景的動畫師解釋技術問題與解決方案。

加分項目
❚ 相關背景： 曾經在動畫、多媒體、設計或影視後期公司工作過，了解產業術語。
❚ 自動化腳本： 懂一點 Python 或",夢想動畫股份有限公司,多媒體傳播相關業,35000,50000,大學以上,[],2,https://www.104.com.tw/job/8zyo1
701,20260327,全端工程師（0–2 年經驗） | 可遠端,"在快速迭代的環境中持續學習新技術，並主動提出優化建議

必備條件

· 熟悉至少一種前端框架（React / Vue 等）與後端語言（Node.js / Python / Go 等）
· 具備優秀的 Prompt Engineering 能力，能",盛裕國際有限公司,鞋類／布類／服飾品零售業,60000,100000,大學以上,"[{'code': '12001005023', 'description': 'AWS'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003100', 'description': 'Microsoft Azure'}]",24,https://www.104.com.tw/job/8zvai
702,20260323,【數據發展部】助理數據分析師－產品分析中心,"的你加入我們，一起打造下一個突破性的資料應用成就。

1.	運用數據分析工具，如 Python 或 SQL，進行數據處理、分析及報告撰寫。
2.	數據報表的日常維護與更新，處理數據分析項目。
3.	透過優化數據處理流程，建立數據處理自動化和監控機制",聯合報股份有限公司,其他出版業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}]",20,https://www.104.com.tw/job/70mim
706,20260401,MLOps 工程師,"PostgreSQL
MongoDB
MySQL
4. 後端服務支援
開發或維護 AI 系統後端服務
建立 API 與資料服務
協助系統整合與自動化
常見技術：
Python
REST API
Linux Server",拉法智慧科技股份有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003092', 'description': 'MLOPs'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001004032', 'description': 'MySQL'}]",4,https://www.104.com.tw/job/8z4eq
708,20260404,【MyGo AI大數據】Proptech/Fintech網頁前端工程師,"2. 參與過資料視覺化相關專案開發
3. 參與過AI、機器學習相關專案開發
4. 參與過 GIS 相關專案開發
5. 參與過網路爬蟲相關專案開發
6. 參與過高營收產品開發
7. 開發過 API 系統
8. 使用 Python 及 Django",MyGo商學苑_平安房屋仲介股份有限公司,不動產經營業,50000,100000,大學以上,[],4,https://www.104.com.tw/job/706v1
713,20260402,【本土領先量化交易公司】Data Team Lead,"處理生態：Python（Pandas/PySpark）、Java/Scala 
（Spark/Flink）、或 Go，能在效能與可維運性間取得平衡。

4.具備批次與串流處理實務：排程（Airflow/Prefect）、訊息佇列 （Kafka/",百仕聯股份有限公司,人力仲介代徵,2000000,3000000,大學以上,[],2,https://www.104.com.tw/job/8z5k1
717,20260407,電腦輔助設計工程師,"式開發能力( 具Perl /Python/ Cadence Skill/ C-Shell/C 程式語言或有興趣者 )
2.	IC設計資料驗證程式開發
	DRC /LVS /RCX 程式開發
	電路模擬的測試程式開發
所需技能 : 程式開發能力(",南亞科技股份有限公司,半導體製造業,41000,57000,大學以上,[],3,https://www.104.com.tw/job/5ft27
719,20260407,數據分析助理,"排名的優化。
5.	熟悉統計方法，具備SQL、Python、R、SPSS等數據分析工具的經驗。
6.	具備英文能力，能夠閱讀和理解相關文獻、報告和資料。
7.	執行上級主管交辦的其他相關任務。

需求專長 （加分項目）
1.	學歷不拘，進行過專案研",網路中文資訊股份有限公司,網際網路相關業,30000,42000,高中以上,"[{'code': '12001011002', 'description': 'Google Analytics'}, {'code': '12001011003', 'description': 'Google Tag Manager'}]",7,https://www.104.com.tw/job/77yci
721,20260407,數據智能_助理管理師(公司治理),"及 PostgreSQL 進行資料檢核與品質提升。
    c. 團隊合作進行流程優化(自動化)。
3. 運用 AI、Python 或 Java 程式，製作資料庫產品及製程優化。",台灣經濟新報文化事業股份有限公司,工商顧問服務業,32000,36000,大學以上,"[{'code': '12001010003', 'description': '中文打字50~75'}, {'code': '12001010009', 'description': '英文打字20~50'}]",1,https://www.104.com.tw/job/8h4ux
722,20260407,2026 永豐金證券 ITT資訊科技人才計畫,"。

✦職缺類別
✔數位平台架構：未來著重內部相關專業為◆數位金融➔AI創新與應用➔Python程式開發➔平台發展與創新
✔系統專案規劃：未來著重內部相關專業為◆系統專案➔AI應用➔專案推動➔系統開發

✦計畫亮點
⚝兩年培訓期間、保障百萬年薪
⚝",永豐金證券股份有限公司,證券及期貨業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",50,https://www.104.com.tw/job/8xo1w
725,20260403,T－軟體測試工程師（自動／手動）（台北）,"【自動化測試工程師】

※職務內容
1. 依產品需求撰寫自動化測試案例，並開發自動化測試工具
2. 維護現有自動化測試工具
3. 追蹤分析測試問題，改善自動化測試效率

※職務需求 
1. 熟悉至少一種程式語言，具備 Python 程式能力者佳",緯創軟體股份有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}]",32,https://www.104.com.tw/job/858de
730,20260402,【總公司系統規劃部】系統專案科人員,"1. 主導系統需求分析與系統設計，規劃系統功能與流程。
2. 提供 Python 後端開發技術協助，與開發團隊討論技術實作方案。
3. 撰寫與優化SQL查詢與資料處理邏輯，支援資料分析與流程驗證。
4. 協助資料流程（Data Pipeline）",三商美邦人壽保險股份有限公司_總公司,人身保險業,40000,55000,大學以上,[],1,https://www.104.com.tw/job/7ayn5
732,20260407,全端工程師,".0 以上版本，並能使用其開發和維護 API。
具備 Microsoft SQL Server 2017 以上版本的操作經驗，能進行數據管理與查詢優化。
熟悉 ASP.NET 和 Spring Boot 3 以上版本、 Python 3.0 以上版",茁思科技股份有限公司,電腦軟體服務業,60000,9999999,專科以上,[],0,https://www.104.com.tw/job/88szl
733,20260407,網頁後端工程師,"熟悉 HTML / Javascript / CSS / SQL語法 / Python / Jquery / VB / VBA 等一至兩項。
能獨立作業，思路清晰。

歡迎喜歡挑戰新科技軟與硬體整合應用新人加入，每月資效獎金發放。",魔法堂科技股份有限公司,網際網路相關業,30000,50000,專科以上,"[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003058', 'description': 'VBA'}, {'code': '12001003059', 'description': 'Visual Basic'}]",2,https://www.104.com.tw/job/690e1
735,20260331,Data Center Management & Development Engineer,"Qualifications:

Proficiency in Python, Go, or C++ with a focus on system-level automation.

Experience in building or heavily",麟雲數據科技有限公司,電腦及其週邊設備製造業,40000,55000,專科以上,[],3,https://www.104.com.tw/job/8y7oe
740,20260316,統一期貨_【自營】交易員,"意識與數字敏銳度，能嚴格遵守風控規範。

【加分條件】
1.	熟悉套利、造市、波動率模型等交易邏輯。
2.	熟悉海外期貨、選擇權相關策略。
3.	具備基本程式能力（Python / R / VBA / C++ 任一皆可）。
4.	熟悉運用AI工具協",統一期貨股份有限公司,證券及期貨業,40000,55000,大學以上,[],8,https://www.104.com.tw/job/8xv9h
741,20260407,115年研發替代役_系統研發工程師,"備技能】
1.熟悉 Log 監控、事件管理及威脅調查技術
2.了解網路安全架構、惡意行為分析與資安威脅評估流程。
3.熟悉 Linux / Windows 系統操作與網路基本架構。
4.具備 Python、Bash 或其他腳本語言基礎能力，以提升資",台灣大哥大股份有限公司,電信相關業,1200000,9999999,學歷不均,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001007071', 'description': 'TCP/IP'}]",8,https://www.104.com.tw/job/8w8f6
743,20260401,【技術】Data Engineer,"於建構快速、高穩定且易擴充的運算平台
良好的溝通能力，並樂於增進自我、學習以及分享新技術

【必備技能包！】
熟悉 Computer Science 相關知識或相關科系畢業
熟悉 Python
熟悉分散式架構的相關知識(例如 Spark、",PChome Online_網路家庭國際資訊(股)公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004039', 'description': 'PostgreSQL'}]",6,https://www.104.com.tw/job/7ynrk
744,20260310,資料工程師 Junior Data Engineer,"* 協助驗證匯入資料的正確性，確保模型推論時具備可靠的數據基礎。
* **自動化工具開發與維護：** 使用 Python 撰寫自動化資料處理工具，提升團隊處理海量文字資料的效率，並確保工具的持續可用性與效能。
* **技術支援與協作：** 協助資料",亞太智能機器股份有限公司,電腦軟體服務業,40000,55000,學歷不均,[],8,https://www.104.com.tw/job/8vkrx
745,20260407,裝備開發組-工程師,"第一位:
【專長需求】
熟悉語言程式設計與UI規劃，或俱有AI機器學習、自動控制、無線通訊、網路資安系統、機電系統整合等相關知識與研發經驗，並具備系統規劃及系統整合能力。
熟悉程式語言如C#、C++、Linux、Java、Python等。
【工作",財團法人船舶暨海洋產業研發中心,電力機械器材製造修配業,40000,55000,碩士,"[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]",0,https://www.104.com.tw/job/87vll
746,20260406,【台北仁愛校區】積木程式機器人講師  (樂高教育中心),"【工作內容】

1. 教授STEAM相關積木程式與機器人課程，適合4至12歲學生，幫助學生在學習過程中發展問題解決能力與創意思維
2. 開發並設計STEAM與AI robotics課程，涵蓋Scratch、C語言、Python等編程語言及機器人",小孩子創意有限公司附設小孩子文理美術短期補習班,補習班,35000,48000,大學,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/7z8mw
747,20260403,R1: 硬體電路設計工程師-110,"數位測試系統電路設計以及高速數位系統元件使用，或
FPGA韌體開發、組合語言測試程式開發、Python輔助工具開發，或
類比電路功能開發、訊號DSP分析",德律科技股份有限公司,電腦及其週邊設備製造業,40000,55000,碩士以上,[],3,https://www.104.com.tw/job/23mxs
748,20260407,軟體工程師 Software Engineer,"1. Android Application Programming
2. GitLab CICD
3. Vibe coding
4. C++, Python",聿信醫療器材科技股份有限公司,醫療器材製造業,40000,55000,專科以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}]",18,https://www.104.com.tw/job/83y5p
749,20251224,【威脅分析中心】資安資料分析工程師(台北),"1. 政府網路資安資料分析
2. 政府資安監控情資分析
3. 資料數據機器學習應用
4. 資安自動化分析系統維運
5. 其他主管之交辦事項

工作經驗與專業能力：
1. 經驗不拘，具資訊與資安相關背景尤佳
2. 熟悉Python程式撰寫尤佳",國家資通安全研究院,其他專業／科學及技術業,40000,55000,大學以上,[],2,https://www.104.com.tw/job/7xlmi
753,20260407,[SW-704] 雲端工程師 (Cloud),"Python / Ruby / Perl...)
- 瞭解 Distribution System、Load Balancing 及 High Availability

薪資將依個人學歷、經歷及專業能力做為核薪依據",虹堡科技股份有限公司,電腦及其週邊設備製造業,40000,55000,專科以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001005023', 'description': 'AWS'}]",6,https://www.104.com.tw/job/6xy75
759,20260407,後端工程師 (Jr.) Backend Engineer,"Python、Django，以及 PostgreSQL、Celery、Redis、K8s、Drone CI 
．Scrum & git flow
．三週一次 Sprint Meeting 與每週兩次的 Stand-up Meeting
．重視成員產出與",微拓科技股份有限公司,電腦軟體服務業,650000,1040000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006043', 'description': 'Django'}]",30,https://www.104.com.tw/job/85b8d
761,20260407,軟體工程師 (嵌入式系統_Garmin Labs)_汐止UTOWN,"with C/C++/Python and multi-threading programming.
3.	Experienced in application development on embedded platforms.
4.	Solid",GARMIN_台灣國際航電股份有限公司,電信相關業,40000,55000,碩士以上,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",25,https://www.104.com.tw/job/7nfa3
762,20260331,【擴編招募】線上課程預約專員｜純內勤無銷售壓力｜32K+績效獎金｜3個月後可選早班,"發），了解家長需求。
專業媒合： 詢問孩子的年級與程度，判斷適合體驗哪種程式課程（如：麥塊、Python）。
安排預約： 確認家長方便的時間，將時段預約下來，就算完成任務！

【 我們正在尋找這樣的夥伴 】
聲音有親切感： 電話是你的武器，聲音有溫",蘋果芽數位科技股份有限公司,其他教育服務業,30000,48000,學歷不均,[],1,https://www.104.com.tw/job/8xqj5
763,20260402,Digital Twins Engineer,"- Proficient in at least one backend or frontend language (e.g., Python, C#, JavaScript/TypeScript).
- Knowledge of 3D",鵬碩系統股份有限公司,數位內容產業,40000,55000,大學以上,[],6,https://www.104.com.tw/job/8uot7
766,20260331,SRE,"GCP, Azure) and container ecosystems (Kubernetes, Docker).
•	Strong skills in Python, Go, or a similar language for",威旭資訊股份有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001007071', 'description': 'TCP/IP'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001007007', 'description': 'BGP'}, {'code': '12001007056', 'description': 'OSPF'}]",2,https://www.104.com.tw/job/8zz1t
771,20260406,AI/ ML Engineer (CFD & Machine Learning),"通 Python (NumPy, SciPy, Matplotlib, PyTorch)。

加分條件 (非必要但優勢):
1.	熱流體力學與 CFD 專業: 具有 OpenFOAM 實際操作經驗 &  深刻理解流體力學理論。",艾新科環保材料有限公司,其他電子零組件相關業,40000,55000,碩士以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001001007', 'description': 'Linux'}]",20,https://www.104.com.tw/job/8yemp
774,20260402,【支付龍頭】Data Team Lead,"性。

3.熟悉後端開發技術，包含 Shell Script、SQL，並精通至少一種程式語言（如 Python 或 Scala）。

4.熟悉分散式資料處理與平台，如 ClickHouse、PySpark、Kafka、BigQuery、",百仕聯股份有限公司,人力仲介代徵,1500000,2500000,大學以上,[],3,https://www.104.com.tw/job/8z5li
776,20260402,【量化交易】金融交易員,"【Responsibilities】
1. 量化回測與執行各式交易。
2. 策略開發。
3. 市場分析 。
4. 其他主管交辦事項。

【Requirements】
1. 有自營部 或 權擇權交易實習經驗。
2. 熟悉 Python、R、",優式資本股份有限公司,證券及期貨業,900000,2000000,大學以上,[],8,https://www.104.com.tw/job/7fk2l
777,20260402,量化交易開發工程師,"Multicharts與TradingView (有C#及python開發經驗者更佳)
本公司除提供基本待遇以外，另外提供高額獎金，歡迎交易員夥伴過來了解",盈萃科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,[],5,https://www.104.com.tw/job/8booq
782,20260319,Embedded Systems Audio Software Engineer,"digital signal processing (DSP).
Experience with GUI development.
Strong proficiency in Python programming.
Experience with the",台灣亞德諾半導體股份有限公司,半導體製造業,60000,140000,大學以上,[],8,https://www.104.com.tw/job/8zjxy
786,20260327,JD0008 Electrical / Firmware Engineer,"modules in compliance with safety standards.

3. Firmware & Programming: Use Python to develop automation control, data",來成光子科技股份有限公司,光電產業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12004001016', 'description': 'Firmware'}, {'code': '12001002003', 'description': 'MCU'}, {'code': '12004001009', 'description': 'Circuit Design'}, {'code': '12001003010', 'description': 'C++'}]",2,https://www.104.com.tw/job/8ujnu
788,20260401,Server驗證工程師,"1.Server系統硬體/軟體架構知識
2.驗證執行經驗
3.驗證自動化腳本技巧
4.Python編碼、Microsoft Power BI和Excel以及數據庫功能",台灣聚引移動有限公司,其它軟體及網路相關業,700000,800000,專科以上,[],2,https://www.104.com.tw/job/8zezj
789,20260330,(NR11- ) BSP/SoC 軟體工程師/高級工程師--網路通訊事業群,"讀並理解基礎電路圖
4. 對於 Shell 或Python 腳本程式有經驗
5. 具備 Git、Docker 使用經驗
6. 具備 SoC 相關產品軟體設計經驗尤佳
7. 具備 OpenWrt 開發經驗尤佳",新漢股份有限公司,電腦及其週邊設備製造業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001001020', 'description': 'Shell'}]",3,https://www.104.com.tw/job/6yjbl
792,20260402,AI 工程師,"優化方法 
6. 開發生成式AI相關應用 

*必要技能:
1. 熟悉機器學習、深度學習。 
2. 熟悉電腦視覺、影像處理。 
3. 熟悉 Python，並了解基本的機器學習/深度學習工具(如 PyTorch、TensorFlow、scikit-",富創數位生活有限公司,電子通訊／電腦週邊零售業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001003090', 'description': 'scikit-learn'}, {'code': '12001003087', 'description': 'tensorflow'}, {'code': '12001003097', 'description': 'LLM'}, {'code': '12001003088', 'description': 'NLP'}]",24,https://www.104.com.tw/job/8yr76
797,20260401,Computer/Machine Vision Algorithms Engineer,"mathematics, physics, or equivalent
2. Strong programming skills in C/C++ and python (to be tested during interview)
3. Strong",鴻華國際科技股份有限公司,其他電子零組件相關業,40000,55000,大學以上,[],7,https://www.104.com.tw/job/6o1zo
798,20260407,AI平台前端工程師 （含自動化腳本開發）,"工作內容：
與後端工程師協作，開發並維護網頁應用
與設計師協作，將設計稿轉化為前端頁面
與PM/設計師/後端工程師一同協作，進行各產品調教、介面技術及網站性能優化
持續維護、優化已上線的專案及產品
使用 Node.js / Python 開發與維",富一代資訊有限公司,電腦軟體服務業,40000,55000,學歷不均,[],4,https://www.104.com.tw/job/8z1zx
803,20260406,【IT / 系統工程人才履歷投遞區】從 Helpdesk 起飛，打造你的職涯新高度！_AMR_863,"不論你現在是 Helpdesk 支援、基礎 IT 維運，或剛開始接觸 Python 自動化、雲端、ERP/POS 系統導入、Infra 專案協作 ——
我們都歡迎你投遞履歷，探索更多 IT 成長機會！


【適合投遞的方向】
IT Support",藝珂人事顧問股份有限公司,人力仲介代徵,40000,55000,專科以上,[],5,https://www.104.com.tw/job/8vm1x
805,20260406,全端工程師,"熟悉 Vue.js（Vue 2 或 Vue 3 皆可）。
3.具備至少一種後端開發經驗（Node.js、Python等）。
4.了解 RESTful API 設計與串接方式。
5.對系統整合、設備管理或工業／伺服器應用有興趣。
6.具備良好學習能力",Cooler Master_訊凱國際股份有限公司,電腦及其週邊設備製造業,40000,55000,大學以上,[],7,https://www.104.com.tw/job/8y6oh
807,20260407,1. AI資安工程師,"料分析基礎，曾有 AI 開發工作經驗者，或修過生成式 AI、深度學習、機器學習、最佳化理論、搜尋演算法等科目佳
3. 熟悉 Python 或其他 AI 開發語言
4. 機械、工業控制領域相關背景
5. 資安證照(如 CEH、CISSP)

上述技能",易勝資訊股份有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001003087', 'description': 'tensorflow'}, {'code': '12001004018', 'description': 'ETL'}, {'code': '12001003094', 'description': 'IoT'}, {'code': '12001003097', 'description': 'LLM'}, {'code': '12001003088', 'description': 'NLP'}, {'code': '12001003092', 'description': 'MLOPs'}]",2,https://www.104.com.tw/job/8y4ol
808,20260406,Senior Infrastructure Engineer EUS Team (End User Support)｜MIS 資深系統工程師,script or Python) is preferred.,星展(台灣)商業銀行股份有限公司,銀行業,40000,55000,大學以上,[],5,https://www.104.com.tw/job/79i10
811,20260326,[DI] 數據平台工程師 Data Platform Engineer,"日誌，並使用平台的查詢語言，從中找出問題根源與商業洞察。
● 打造數據儀表板：你將為客戶設計與建構客製化的監控儀表板、數據報表與自動告警，讓數據一目了然。
● 實踐自動化維運：你將有機會使用 Python / Shell Script 開發自動化腳",動力安全資訊股份有限公司,電腦系統整合服務業,40000,55000,大學以上,[],14,https://www.104.com.tw/job/4jnp8
812,20260407,AI/機器學習研發工程師｜ AI/ML Engineer,"基本意義與應用場景
4. 產品開發能力
5. 創新思考方式
6. 略懂製造業相關知識尤佳

技術要求：
1. 精通python程式語言、熟悉linux作業系統
2. 熟悉pandas、numpy、statsmodels、scikit-learn、",杰倫智能科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",35,https://www.104.com.tw/job/7015h
