編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
354,20260327,Robotics Software Design Engineer,"Test，解決現場最複雜的系統問題。


- 必備技能與加分項 (我們期待的夥伴)
我們尋求具備深厚技術基礎和實戰經驗，能主動承擔責任，並渴望與團隊共同成長的專業人士。
1. Coding 能力： 熟悉 C++ or Python，具備紮實的",優式機器人股份有限公司,消費性電子產品製造業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002016', 'description': 'Github'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",3,https://www.104.com.tw/job/6o899
355,20260327,"資料科學工程師 (Data Engineer) -- 資料科學實驗室 (數數發中心,DDT)_I00018190","[工作內容]
職務包含但不限於以下內容
- 基於 Python 語言之產品開發，推廣及後續維護
- Docker/Kubernetes 相關技術應用研發
- 雲端技術應用及研究
- 創新資料科學工程架構研究及開發
- 大數據專案開發實作",國泰金控_國泰金融控股股份有限公司,金融控股業,40000,55000,學歷不均,[],8,https://www.104.com.tw/job/8hztb
356,20260327,全端工程師 Full Stack Engineer,"JavaScript、CSS
	前端框架Angular、Vue、React
	JAVA、Python、Shell Script
	熟悉軟體開發流程
	GIT版本管理

【加分條件】
	JAVA相關證照
	AWS相關證照",移動商務股份有限公司,多媒體傳播相關業,60000,9999999,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006038', 'description': 'VueJS'}]",9,https://www.104.com.tw/job/8djxu
357,20260303,【研發部】自主代理工程師(擴編),"Swarm Intelligence)。
4.整合感知系統與行動執行層，打造從「觀察→決策→行動」的完整閉環。

【必備條件】
1.深入理解 Multi-Agent Systems(MAS)與分散式決策架構。
2.熟悉 Python/C++ 系統程式",全球動力科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003097', 'description': 'LLM'}]",4,https://www.104.com.tw/job/8yv2x
359,20260402,QA Test Engineer,"in team meetings, provide suggestions for continuous personal, team and organizational improvement.
-Python skill, need",美商安邁科技股份有限公司台灣分公司,電腦軟體服務業,40000,55000,大學以上,[],9,https://www.104.com.tw/job/3xl2s
361,20260407,數據專員-Data Specialist,"制
持續關注數據分析工具與方法，提升分析效率與品質

條件需求
對數據分析、網路行銷或成效追蹤具高度興趣
熟悉 Python，並具備 Pandas、Numpy 使用經驗
熟悉 GTM、GA4 及其他 Google 分析工具
熟悉 Excel 函數",丹威國際數位媒體有限公司,廣告行銷公關業,42000,9999999,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001011002', 'description': 'Google Analytics'}, {'code': '12001011003', 'description': 'Google Tag Manager'}, {'code': '12001011001', 'description': 'Tableau'}]",11,https://www.104.com.tw/job/7pmc6
362,20260330,醫療法人資訊室軟體開發工程師（工作地點：台北慈濟醫院）,"Python, Visual Basic.Net,ASP.Net, MSSQL， Oracle，MySQL， Javascript, CSS 。
4.學習能力強， 對程式開發及軟體工程具有熱情，願意嘗試新的技術及架構。
5.具良好的溝通能力，團隊配合度",佛教慈濟醫療財團法人台北慈濟醫院,醫院,37000,9999999,大學以上,"[{'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}]",5,https://www.104.com.tw/job/8mps0
368,20260331,【研發部】AI應用工程師,"【工作內容】
1. 設計並開發基於LLM應用服務來達成業務上需求
2. 空間設計推薦服務開發
3. 後端服務/模型佈署

【必要條件】
1. Python 程式開發 (後端服務 與 AI Agent)
2. 有使用不同類型資料庫經驗(",真建築科技股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003099', 'description': 'Prompt'}, {'code': '12001003097', 'description': 'LLM'}, {'code': '12001003096', 'description': 'Computer Vision'}]",6,https://www.104.com.tw/job/8h2zd
371,20260331,【研發部】演算法工程師,/ Python），並具效能優化能力。,真建築科技股份有限公司,網際網路相關業,40000,55000,高中以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003008', 'description': 'C'}]",1,https://www.104.com.tw/job/8te4m
372,20260331,【2026研發替代役】科技部_軟體開發測試工程師 Software Development Test Engineer,"用者體驗，成為長期的夥伴關係，同時支持更好的生產、創造更好的分配、成就更美好的生活與社會。

【職缺需求條件】
學歷背景：具備資訊工程、電機工程或相關領域碩士（含）以上學歷。
程式能力：熟悉至少一種程式語言（如 Python、Java、C#），具備",美好證券股份有限公司,證券及期貨業,40000,55000,碩士,"[{'code': '12001008036', 'description': 'Scrum'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001002008', 'description': 'SDLC'}]",3,https://www.104.com.tw/job/8wfp2
373,20260401,售前方案規劃工程師｜Pre-Sales Solution Engineer｜此職缺限定給無工作經驗的新鮮人,"合性

職務需求
必備條件
•以下2項滿足其一：
  1.工程相關科系畢業（自動控制、機械、電機、機電、自動化相關）
  2.自動化控制 or機械手臂 or 無人車 相關工作經歷
•具有自動控制或程式邏輯基礎（PLC / C / Python /",台灣庫卡股份有限公司,自動控制相關業,40000,55000,大學以上,"[{'code': '12004001027', 'description': 'PLC'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12003003049', 'description': 'Robot'}]",3,https://www.104.com.tw/job/8yfsz
